1,Airplane,California,Medium,0
2,Airplane,Texas,Medium,0
3,Airplane,New York,Small,0
4,Airplane,Texas,Medium,0
5,Airplane,Georgia,Medium,0
6,Airplane,DC,Small,0
7,Airplane,Colorado,Large,0
8,Airplane,Alabama,Small,0
9,Airplane,Colorado,Small,0
10,Airplane,California,Small,0
11,Airplane,Colorado,Small,0
12,Airplane,Louisiana,Medium,0
13,Airplane,Utah,Medium,0
14,Airplane,Alabama,Small,0
15,Airplane,California,Small,0
16,Airplane,Washington,Small,0
17,Airplane,Utah,Small,0
18,Airplane,California,Medium,0
19,Airplane,Louisiana,Medium,0
20,Helicopter,Arizona,Small,0
21,Airplane,Florida,Small,0
22,Airplane,Texas,Small,0
23,Airplane,Nebraska,Small,0
24,Airplane,Utah,Small,0
25,Airplane,Pennsylvania,Medium,0
26,Airplane,Oklahoma,Small,0
27,Airplane,Florida,Large,316
28,Airplane,Texas,Small,0
29,Airplane,Pennsylvania,Small,0
30,Airplane,Hawaii,Small,0
31,Airplane,California,Medium,0
32,Airplane,California,Small,0
33,Airplane,Texas,Small,0
34,Airplane,California,Medium,0
35,Airplane,Utah,Small,0
36,Airplane,Florida,Small,0
37,Airplane,Michigan,Small,0
38,Airplane,New Jersey,Medium,0
39,Airplane,Alabama,Small,0
40,Airplane,Missouri,Large,679
41,Airplane,Oklahoma,Large,0
42,Airplane,New York,Medium,0
43,Airplane,Florida,Medium,0
44,Airplane,Illinois,Small,0
45,Airplane,Connecticut,Small,0
46,Airplane,Texas,Medium,0
47,Airplane,Michigan,Medium,0
48,Airplane,Illinois,Small,0
49,Airplane,Illinois,Small,0
50,Airplane,Massachusetts,Small,0
51,Airplane,California,Small,0
52,Airplane,Texas,Medium,319
53,Airplane,Texas,Small,21
54,Airplane,Louisiana,Medium,0
55,Airplane,New York,Small,0
56,Airplane,Massachusetts,Medium,0
57,Airplane,Georgia,Small,0
58,Airplane,Kentucky,Medium,0
59,Airplane,Colorado,Medium,0
60,Airplane,Ohio,Medium,0
61,Airplane,Louisiana,Small,0
62,Airplane,Florida,Medium,0
63,Airplane,DC,Small,0
64,Airplane,Colorado,Small,0
65,Airplane,Texas,Small,0
66,Airplane,Illinois,Large,0
67,Airplane,Washington,Small,0
68,Airplane,Colorado,Medium,0
69,Airplane,Louisiana,Medium,0
70,Airplane,Hawaii,Small,0
71,Airplane,Iowa,Medium,0
72,Airplane,California,Medium,0
73,Airplane,Pennsylvania,Small,0
